name,"mitre_id",enabled
"Abnormally High Number Of Cloud Infrastructure API Calls","T1078.004",No
"Abnormally High Number Of Cloud Security Group API Calls","T1078.004",No
"AWS Create Policy Version To Allow All Resources","T1078.004",No
"AWS Createaccesskey","T1136.003",No
"AWS Createloginprofile","T1136.003",No
"AWS Detect Users Creating Keys With Encrypt Policy Without MFA",T1486,No
"AWS Detect Users With Kms Keys Performing Encryption S3",T1486,No
"AWS Network Access Control List Created With All Open Ports","T1562.007",No
"AWS Network Access Control List Deleted","T1562.007",No
"AWS Saml Access By Provider User And Principal",T1078,No
"AWS Saml Update Identity Provider",T1078,No
"AWS Setdefaultpolicyversion","T1078.004",No
"AWS Updateloginprofile","T1136.003",No
"Cloud API Calls From Previously Unseen User Roles",T1078,No
"Cloud Compute Instance Created By Previously Unseen User","T1078.004",No
"Cloud Compute Instance Created In Previously Unused Region",T1535,No
"Cloud Instance Modified By Previously Unseen User","T1078.004",No
"Cloud Provisioning Activity From Previously Unseen City",T1078,No
"Cloud Provisioning Activity From Previously Unseen Country",T1078,No
"Cloud Provisioning Activity From Previously Unseen IP Address",T1078,No
"Cloud Provisioning Activity From Previously Unseen Region",T1078,No
"Detect AWS Console Login By User From New City",T1535,No
"Detect AWS Console Login By User From New Country",T1535,No
"Detect AWS Console Login By User From New Region",T1535,No
"Detect New Open S3 Buckets",T1530,No
"Detect New Open S3 Buckets Over AWS Cli",T1530,No
"O365 Add App Role Assignment Grant User","T1136.003",No
"O365 Added Service Principal","T1136.003",No
"O365 Bypass MFA Via Trusted IP","T1562.007",No
"O365 Disable MFA",T1556,No
"O365 Excessive Authentication Failures Alert",T1110,No
"O365 Excessive Sso Logon Errors",T1556,No
"O365 New Federated Domain Added","T1136.003",No
"O365 Pst Export Alert",T1114,No
"O365 Suspicious Admin Email Forwarding","T1114.003",No
"O365 Suspicious Rights Delegation","T1114.002",No
"O365 Suspicious User Email Forwarding","T1114.003",No
"Abnormally High AWS Instances Launched By User","T1078.004",No
"Abnormally High AWS Instances Terminated By User","T1078.004",No
"AWS Cloud Provisioning From Previously Unseen City",T1535,No
"AWS Cloud Provisioning From Previously Unseen Country",T1535,No
"AWS Cloud Provisioning From Previously Unseen Region",T1535,No
"Clients Connecting To Multiple DNS Servers","T1048.003",No
"Detect AWS API Activities From Unapproved Accounts","T1078.004",No
"Detect DNS Requests To Phishing Sites Leveraging Evilginx2","T1566.003",No
"Detect Long DNS Txt Record Response","T1048.003",No
"Detect Mimikatz Via Powershell And Eventcode 4703","T1003.001",No
"Detect New API Calls From User Roles","T1078.004",No
"Detect New User AWS Console Login","T1078.004",No
"Detect Spike In AWS API Activity","T1078.004",No
"Detect Spike In Network ACL Activity","T1562.007",No
"Detect Spike In Security Group Activity","T1078.004",No
"Detect Web Traffic To Dynamic Domain Providers","T1071.001",No
